timestamp,park_id,facility_id,facility_type,industry_segment,contracted_capacity_kw,equipment_efficiency,gross_load_kw,renewable_generation_kw,net_load_kw,temperature_c,tariff_usd_kwh,is_weekend,is_anomaly,quality_flag,data_source
2026-01-01T00:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,779.287,0.0,779.287,3.24,0.091,0,0,valid,synthetic_generator_v1
2026-01-01T01:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,859.074,0.0,859.074,1.03,0.091,0,0,valid,synthetic_generator_v1
2026-01-01T02:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,862.491,0.0,862.491,2.11,0.091,0,0,valid,synthetic_generator_v1
2026-01-01T03:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,874.978,0.0,874.978,0.38,0.091,0,0,valid,synthetic_generator_v1
2026-01-01T04:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,852.141,0.0,852.141,2.05,0.091,0,0,valid,synthetic_generator_v1
2026-01-01T05:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,842.098,0.0,842.098,3.04,0.091,0,0,valid,synthetic_generator_v1
2026-01-01T06:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,876.792,0.0,876.792,5.11,0.091,0,0,valid,synthetic_generator_v1
2026-01-01T07:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,1509.255,39.132,1470.123,5.88,0.091,0,0,valid,synthetic_generator_v1
2026-01-01T08:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,1525.685,77.854,1447.831,9.53,0.109,0,0,valid,synthetic_generator_v1
2026-01-01T09:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,1561.044,120.931,1440.114,10.77,0.109,0,0,valid,synthetic_generator_v1
2026-01-01T10:00:00-05:00,PARK-DEMO-01,F-101,energy_intensive,Metal processing,1736.11,0.8702,1502.933,147.072,1355.861,12.33,0.109,0,0,valid,synthetic_generator_v1
